Box No,Company,Submodule,Length,Width,Height,Weight,Volume,Pallet
1,A COY,NSQM STORE,3.3,2.9,2.5,169.4,0.01,
2,A COY,NSQM STORE,2.9,2.3,2.3,156.5,0.01,
3,A COY,KOTE,3.5,2.7,2.9,126.6,0.02,
4,A COY,KOTE,2.2,3.4,3,128.6,0.01,
5,B COY,NSQM STORE,2.7,2.7,2.3,122.1,0.01,
6,B COY,NSQM STORE,3.3,3.4,2.7,103,0.02,
7,B COY,KOTE,3.1,2.6,2.8,114,0.01,
8,B COY,KOTE,2.3,3.5,2.1,144.6,0.01,
9,C COY,NSQM STORE,2.1,3.3,3.1,181,0.01,
10,C COY,NSQM STORE,2.7,3.3,3.3,166.1,0.02,
11,C COY,KOTE,2.6,3.1,2.2,107.8,0.01,
12,C COY,KOTE,2.9,2.2,2.4,160.7,0.01,
13,D COY,NSQM STORE,2.8,2.9,3.1,178.7,0.01,
14,D COY,NSQM STORE,2.4,3.2,2.5,137.2,0.01,
15,D COY,KOTE,3.2,2.7,3.3,140.5,0.02,
16,D COY,KOTE,3,2.1,3.4,157.5,0.01,
17,SP COY,NSQM STORE,3.1,2.1,3,119,0.01,
18,SP COY,NSQM STORE,3.1,2.2,2.4,161.9,0.01,
19,SP COY,KOTE,2,2.6,2.4,180.3,0.01,
20,SP COY,KOTE,3.4,2.1,3,162.6,0.01,
21,HQ COY,NSQM STORE,3.2,2.3,3.3,186.3,0.01,
22,HQ COY,NSQM STORE,3,2.3,3,112.4,0.01,
23,HQ COY,KOTE,2.2,2.9,3,146.6,0.01,
24,HQ COY,KOTE,2.2,2,2.2,118.7,0.01,
25,BN MAG,AMN,2.9,2,2.3,178.7,0.01,
26,BN MAG,AMN,2.4,3.5,2.6,122.6,0.01,
